,centre_id,type_centre,region,prefecture,commune,quartier,personnel_capacite_jour,nombre_guichets,horaire_nuit,equipement_numerique,date_ouverture,total_heures,anciennete_annees
0,CT001,Principal,Savanes,Tône,Dapaong,Administratif,300,12,Non,Complet,2016-02-14,10.0,9.9
1,CT002,Secondaire,Maritime,Ave,Kévé,Zone industrielle,63,2,Non,Limite,2020-09-14,8.0,5.3
2,CT003,Secondaire,Savanes,Oti-Sud,Gando,Zone industrielle,98,2,Non,Partiel,2015-06-02,8.0,10.6
3,CT004,Secondaire,Kara,Binah,Pagouda,Gare routière,78,6,Non,Partiel,2019-12-03,8.0,6.1
4,CT005,Secondaire,Centrale,Tchamba,Tchamba,Carrefour,62,3,Non,Limite,2022-10-20,8.0,3.3
5,CT006,Principal,Maritime,Zio,Tsévié,Marché,338,8,Non,Complet,2022-08-28,10.0,3.4
6,CT007,Secondaire,Kara,Bassar,Bassar,Poste,59,6,Non,Partiel,2020-02-11,8.0,5.9
7,CT008,Principal,Plateaux,Kloto,Kpalimé,Préfecture,355,11,Non,Complet,2017-07-12,10.0,8.5
8,CT009,Secondaire,Centrale,Tchamba,Tchamba,Résidentiel,61,2,Non,Limite,2022-05-11,8.0,3.7
9,CT010,Principal,Kara,Kozah,Kara,Préfecture,274,13,Non,Complet,2023-11-24,10.0,2.2
10,CT011,Secondaire,Kara,Binah,Pagouda,Préfecture,82,6,Non,Partiel,2017-11-30,8.0,8.1
11,CT012,Secondaire,Centrale,Sotouboua,Sotouboua,Résidentiel,54,5,Non,Partiel,2022-07-15,8.0,3.5
12,CT013,Secondaire,Centrale,Tchamba,Tchamba,Centre ville,114,2,Non,Limite,2016-10-19,8.0,9.3
13,CT014,Secondaire,Plateaux,Moyen-Mono,Tohoun,Administratif,63,2,Non,Partiel,2015-01-10,8.0,11.0
14,CT015,Secondaire,Plateaux,Danyi,Danyi-Apéyémé,Carrefour,74,2,Non,Partiel,2017-06-14,8.0,8.6
15,CT016,Secondaire,Maritime,Golfe,Lomé,Administratif,106,2,Non,Partiel,2023-07-08,8.0,2.5
16,CT017,Secondaire,Savanes,Tandjouaré,Tandjouaré,Administratif,114,3,Non,Limite,2023-06-10,8.0,2.6
17,CT018,Secondaire,Kara,Assoli,Bafilo,Centre ville,37,3,Non,Limite,2015-07-25,8.0,10.5
18,CT019,Secondaire,Maritime,Lacs,Aného,Carrefour,101,6,Non,Partiel,2023-07-09,8.0,2.5
19,CT020,Secondaire,Maritime,Vo,Vogan,Administratif,32,2,Non,Partiel,2019-09-03,8.0,6.4
20,CT021,Secondaire,Centrale,Mo,Djarkpanga,Carrefour,118,2,Non,Limite,2019-06-28,8.0,6.6
21,CT022,Principal,Centrale,Tchaoudjo,Sokodé,Centre ville,273,10,Oui,Complet,2015-04-04,10.0,10.8
22,CT023,Secondaire,Maritime,Lacs,Aného,Hôpital,35,5,Non,Limite,2018-12-25,8.0,7.1
